id,mf,yo,we,jd
1,76.46153846,132.6,137,10.58823529
2,62.27272727,102.3333333,114.1176471,7.909090909
3,54.29411765,46.86206897,97.36842105,6.677419355
4,53.57142857,45.15,92.07692308,6.551724138
5,47.77272727,43.5,85.30769231,5.96969697
6,41.66666667,37.14285714,76.84615385,5.689655172
7,40.62820513,35.90909091,64.625,5.592592593
8,39.88571429,33.66666667,55.05263158,5.575
9,37.6,30.43478261,53.71428571,5.5
10,36.56578947,29.5,45.90322581,5.344827586
11,35.27586207,29.40625,44.90140845,5.295454545
12,33.8372093,26.24242424,41.42105263,4.84
13,31.15625,25.78181818,39.79310345,4.802816901
14,29.97058824,25.70731707,37.34,4.64
15,28.56410256,23.89189189,36.89583333,4.425
16,28.12962963,23.81818182,35.8,4.352941176
17,27.48571429,22.96153846,34.45945946,4.303797468
18,27.23333333,22.85294118,34.06060606,4.27027027
19,26.3,22.47727273,33.32608696,4.243243243
20,25.39473684,21.84615385,33.15151515,4.181818182
21,23.60810811,21.59259259,32.81081081,4.166666667
22,23.48979592,21.52272727,32.74712644,4.15942029
23,23.41509434,20.88888889,32.05555556,4.079365079
24,23.40425532,20.48148148,29.11428571,3.867924528
25,22.95384615,19.61111111,28.36363636,3.81443299
26,22.84210526,19.53571429,28.25531915,3.792207792
27,22.55319149,19.22,28.01694915,3.782608696
28,19.14583333,18.98275862,27.45,3.776315789
29,19.13829787,18.91176471,27.27777778,3.732142857
30,19.01428571,18.57692308,27.27027027,3.681818182
31,18.98591549,18.48571429,27.16438356,3.66
32,18.92,18.21212121,26.33962264,3.611111111
33,18.88888889,17.69444444,26,3.535714286
34,18.78688525,17.31707317,25.5443038,3.52
35,17.41139241,17.04347826,24.79545455,3.471698113
36,17.27272727,16.97752809,24.02521008,3.395348837
37,17.17307692,16.9375,23.94776119,3.381818182
38,17.10526316,16.875,23.0952381,3.369863014
39,16.0625,16.66666667,23.03947368,3.341463415
40,15.73611111,16.64179104,22.97916667,3.333333333
41,15.51612903,16.54545455,22.93220339,3.331950207
42,15.47142857,16.5,22.84745763,3.326530612
43,15.46478873,16.43283582,22.34567901,3.307692308
44,15.20289855,16.3902439,22.28333333,3.264367816
45,14.74193548,15.78947368,21.98275862,3.166666667
46,14.71875,15.78431373,20.19230769,3.14084507
47,14.64,15.74285714,20.02040816,3.079365079
48,14.23076923,15.66666667,19.65151515,3.048780488
49,14.15789474,15.3,18.66666667,3.023809524
50,12.92783505,15.225,18.4,2.98630137
51,12.85964912,15.08823529,17.93442623,2.97826087
52,12.82716049,14.72,17.48809524,2.915254237
53,12.82291667,14.36956522,17.38983051,2.878172589
54,12.52592593,14.36363636,17.05681818,2.875
55,12.50617284,14.31034483,16.86885246,2.871794872
56,12.4742268,14.2745098,16.52631579,2.871212121
57,12.45454545,14.27083333,16.29292929,2.847457627
58,12.02469136,14.16,16.04054054,2.822222222
59,11.88172043,14.03448276,15.96610169,2.817073171
60,11.62666667,14.01724138,15.7,2.782608696
61,11.44117647,13.87912088,15.47560976,2.78125
